Date,Price
Oct 23  2019,0.011243
Oct 22  2019,0.011581
Oct 21  2019,0.011795
Oct 20  2019,0.011270
Oct 19  2019,0.011304
Oct 18  2019,0.011160
Oct 17  2019,0.011540
Oct 16  2019,0.011606
Oct 15  2019,0.013445
Oct 14  2019,0.012566
Oct 13  2019,0.014395
Oct 12  2019,0.009450
Oct 11  2019,0.009277
Oct 10  2019,0.009316
Oct 09  2019,0.008814
Oct 08  2019,0.008499
Oct 07  2019,0.008398
Oct 06  2019,0.008407
Oct 05  2019,0.008428
Oct 04  2019,0.008493
Oct 03  2019,0.008423
Oct 02  2019,0.008450
Oct 01  2019,0.008516
Sep 30  2019,0.008347
Sep 29  2019,0.008836
Sep 28  2019,0.009046
Sep 27  2019,0.007939
Sep 26  2019,0.007716
Sep 25  2019,0.008373
Sep 24  2019,0.008265
Sep 23  2019,0.009861
Sep 22  2019,0.010982
Sep 21  2019,0.011083
Sep 20  2019,0.010496
Sep 19  2019,0.010755
Sep 18  2019,0.010905
Sep 17  2019,0.010153
Sep 16  2019,0.009890
Sep 15  2019,0.009881
Sep 14  2019,0.010038
Sep 13  2019,0.010072
Sep 12  2019,0.009717
Sep 11  2019,0.010032
Sep 10  2019,0.009039
Sep 09  2019,0.009914
Sep 08  2019,0.010292
Sep 07  2019,0.009961
Sep 06  2019,0.010180
Sep 05  2019,0.010398
Sep 04  2019,0.010213
Sep 03  2019,0.010418
Sep 02  2019,0.009974
Sep 01  2019,0.008910
Aug 31  2019,0.009850
Aug 30  2019,0.009399
Aug 29  2019,0.009138
Aug 28  2019,0.009879
Aug 27  2019,0.008591
Aug 26  2019,0.009180
Aug 25  2019,0.008650
Aug 24  2019,0.008845
Aug 23  2019,0.008717
Aug 22  2019,0.008592
Aug 21  2019,0.009338
Aug 20  2019,0.008306
Aug 19  2019,0.011010
Aug 18  2019,0.010389
Aug 17  2019,0.010275
Aug 16  2019,0.010054
Aug 15  2019,0.010599
Aug 14  2019,0.010642
Aug 13  2019,0.010676
Aug 12  2019,0.010822
Aug 11  2019,0.010745
Aug 10  2019,0.011252
Aug 09  2019,0.010760
