Date,Price
Oct 23  2019,12.83
Oct 22  2019,13.91
Oct 21  2019,14.35
Oct 20  2019,14.15
Oct 19  2019,13.88
Oct 18  2019,14.01
Oct 17  2019,14.21
Oct 16  2019,14.24
Oct 15  2019,15.58
Oct 14  2019,15.82
Oct 13  2019,16.06
Oct 12  2019,16.04
Oct 11  2019,16.23
Oct 10  2019,16.71
Oct 09  2019,16.83
Oct 08  2019,16.90
Oct 07  2019,16.73
Oct 06  2019,16.81
Oct 05  2019,16.59
Oct 04  2019,16.67
Oct 03  2019,16.59
Oct 02  2019,17.04
Oct 01  2019,17.25
Sep 30  2019,16.36
Sep 29  2019,17.31
Sep 28  2019,17.48
Sep 27  2019,16.75
Sep 26  2019,16.31
Sep 25  2019,16.79
Sep 24  2019,17.84
Sep 23  2019,20.67
Sep 22  2019,22.05
Sep 21  2019,22.37
Sep 20  2019,22.68
Sep 19  2019,22.12
Sep 18  2019,22.02
Sep 17  2019,21.75
Sep 16  2019,21.81
Sep 15  2019,22.70
Sep 14  2019,22.96
Sep 13  2019,22.89
Sep 12  2019,22.10
Sep 11  2019,22.14
Sep 10  2019,22.76
Sep 09  2019,24.10
Sep 08  2019,24.33
Sep 07  2019,23.80
Sep 06  2019,23.81
Sep 05  2019,24.46
Sep 04  2019,24.74
Sep 03  2019,24.58
Sep 02  2019,23.55
Sep 01  2019,22.86
Aug 31  2019,22.62
Aug 30  2019,22.43
Aug 29  2019,22.15
Aug 28  2019,23.04
Aug 27  2019,24.05
Aug 26  2019,24.40
Aug 25  2019,24.48
Aug 24  2019,24.39
Aug 23  2019,24.76
Aug 22  2019,23.85
Aug 21  2019,24.18
Aug 20  2019,25.95
Aug 19  2019,25.68
Aug 18  2019,25.07
Aug 17  2019,24.95
Aug 16  2019,24.28
Aug 15  2019,23.93
Aug 14  2019,25.09
Aug 13  2019,26.09
Aug 12  2019,27.27
Aug 11  2019,26.70
Aug 10  2019,26.43
Aug 09  2019,26.31
Aug 08  2019,26.74
Aug 07  2019,30.15
Aug 06  2019,30.54
Aug 05  2019,28.42
Aug 04  2019,27.64
Aug 03  2019,27.95
Aug 02  2019,27.35
Aug 01  2019,26.57
Jul 31  2019,25.16
Jul 30  2019,25.09
Jul 29  2019,25.40
Jul 28  2019,24.96
Jul 27  2019,25.52
Jul 26  2019,26.37
Jul 25  2019,26.86
Jul 24  2019,26.82
Jul 23  2019,27.71
Jul 22  2019,28.40
Jul 21  2019,28.72
Jul 20  2019,28.70
Jul 19  2019,28.22
Jul 18  2019,26.40
Jul 17  2019,25.93
Jul 16  2019,26.22
Jul 15  2019,27.16
Jul 14  2019,28.04
Jul 13  2019,29.76
Jul 12  2019,29.73
Jul 11  2019,29.52
Jul 10  2019,31.65
Jul 09  2019,32.22
Jul 08  2019,30.66
Jul 07  2019,30.00
Jul 06  2019,29.65
Jul 05  2019,29.28
Jul 04  2019,30.55
Jul 03  2019,29.22
Jul 02  2019,26.48
Jul 01  2019,28.11
Jun 30  2019,30.13
Jun 29  2019,32.10
Jun 28  2019,30.52
Jun 27  2019,29.36
Jun 26  2019,31.75
Jun 25  2019,31.05
Jun 24  2019,32.22
Jun 23  2019,29.86
Jun 22  2019,29.05
Jun 21  2019,28.94
Jun 20  2019,27.37
Jun 19  2019,28.01
Jun 18  2019,28.58
Jun 17  2019,27.91
Jun 16  2019,27.48
Jun 15  2019,26.50
Jun 14  2019,25.02
Jun 13  2019,27.80
Jun 12  2019,27.69
Jun 11  2019,26.79
Jun 10  2019,26.06
Jun 09  2019,25.96
Jun 08  2019,25.99
Jun 07  2019,25.35
Jun 06  2019,24.57
Jun 05  2019,25.39
Jun 04  2019,24.95
Jun 03  2019,26.80
Jun 02  2019,28.34
Jun 01  2019,28.16
May 31  2019,27.15
May 30  2019,27.40
May 29  2019,27.39
May 28  2019,27.97
May 27  2019,28.11
May 26  2019,27.31
May 25  2019,27.73
May 24  2019,27.19
May 23  2019,25.77
May 22  2019,28.11
May 21  2019,28.92
May 20  2019,28.21
May 19  2019,28.81
May 18  2019,28.42
May 17  2019,27.12
May 16  2019,30.55
May 15  2019,28.54
May 14  2019,26.43
May 13  2019,26.52
May 12  2019,26.49
May 11  2019,25.21
May 10  2019,25.55
May 09  2019,25.34
May 08  2019,25.00
May 07  2019,25.51
May 06  2019,24.91
May 05  2019,25.39
May 04  2019,25.51
May 03  2019,24.65
May 02  2019,24.23
May 01  2019,23.59
Apr 30  2019,22.79
Apr 29  2019,22.93
Apr 28  2019,23.14
Apr 27  2019,22.73
Apr 26  2019,22.54
Apr 25  2019,22.73
Apr 24  2019,24.00
Apr 23  2019,25.06
Apr 22  2019,25.20
Apr 21  2019,24.94
Apr 20  2019,24.99
Apr 19  2019,24.82
Apr 18  2019,24.23
Apr 17  2019,24.27
Apr 16  2019,23.33
Apr 15  2019,23.87
Apr 14  2019,24.36
Apr 13  2019,23.90
Apr 12  2019,23.17
Apr 11  2019,22.59
Apr 10  2019,25.00
Apr 09  2019,25.29
Apr 08  2019,25.36
Apr 07  2019,24.96
Apr 06  2019,24.80
Apr 05  2019,23.36
Apr 04  2019,22.99
Apr 03  2019,23.14
Apr 02  2019,19.98
