Date,Price
Oct 23  2019,0.005334
Oct 22  2019,0.005334
Oct 21  2019,0.005334
Oct 20  2019,0.005334
Oct 19  2019,0.005334
Oct 18  2019,0.005450
Oct 17  2019,0.005450
Oct 16  2019,0.004113
Oct 15  2019,0.003869
Oct 14  2019,0.003861
Oct 13  2019,0.003803
Oct 12  2019,0.003803
Oct 11  2019,0.003803
Oct 10  2019,0.003803
Oct 09  2019,0.003803
Oct 08  2019,0.003803
Oct 07  2019,0.003803
Oct 06  2019,0.003803
Oct 05  2019,0.003803
Oct 04  2019,0.003803
Oct 03  2019,0.003803
Oct 02  2019,0.003803
Oct 01  2019,0.003827
Sep 30  2019,0.003738
Sep 29  2019,0.003454
Sep 28  2019,0.003454
Sep 27  2019,0.003496
Sep 26  2019,0.004875
Sep 25  2019,0.004875
Sep 24  2019,0.004875
Sep 23  2019,0.004875
Sep 22  2019,0.004875
Sep 21  2019,0.004892
Sep 20  2019,0.004922
Sep 19  2019,0.003620
Sep 18  2019,0.003620
Sep 17  2019,0.003620
Sep 16  2019,0.003620
Sep 15  2019,0.003631
Sep 14  2019,0.005383
Sep 13  2019,0.005383
Sep 12  2019,0.005383
Sep 11  2019,0.005383
Sep 10  2019,0.005383
Sep 09  2019,0.005383
Sep 08  2019,0.005406
Sep 07  2019,0.005390
Sep 06  2019,0.003853
Sep 05  2019,0.003853
Sep 04  2019,0.003853
Sep 03  2019,0.003865
Sep 02  2019,0.004605
Sep 01  2019,0.004603
Aug 31  2019,0.003186
Aug 30  2019,0.006662
Aug 29  2019,0.006864
Aug 28  2019,0.010920
Aug 27  2019,0.012056
Aug 26  2019,0.012056
Aug 25  2019,0.012056
Aug 24  2019,0.012056
Aug 23  2019,0.012085
Aug 22  2019,0.013514
Aug 21  2019,0.011883
Aug 20  2019,0.015532
Aug 19  2019,0.015504
Aug 18  2019,0.011079
Aug 17  2019,0.011079
Aug 16  2019,0.011449
Aug 15  2019,0.011522
Aug 14  2019,0.010541
Aug 13  2019,0.010618
Aug 12  2019,0.011083
Aug 11  2019,0.011108
Aug 10  2019,0.014569
Aug 09  2019,0.011203
Aug 08  2019,0.011375
Aug 07  2019,0.011391
Aug 06  2019,0.008840
Aug 05  2019,0.008840
Aug 04  2019,0.008840
Aug 03  2019,0.008840
Aug 02  2019,0.008840
Aug 01  2019,0.008840
Jul 31  2019,0.008840
Jul 30  2019,0.008840
Jul 29  2019,0.008840
Jul 28  2019,0.008840
Jul 27  2019,0.008840
Jul 26  2019,0.008840
Jul 25  2019,0.008840
Jul 24  2019,0.008840
Jul 23  2019,0.008840
Jul 22  2019,0.008840
Jul 21  2019,0.008840
Jul 20  2019,0.008840
Jul 19  2019,0.008840
Jul 18  2019,0.008840
Jul 17  2019,0.009068
Jul 16  2019,0.011629
Jul 15  2019,0.011642
Jul 14  2019,0.013957
